,"Credit goes to Felix Just, S.J., Ph.D. for all data below. Find original information and more at: https://catholic-resources.org/Lectionary/",,,,,,,Further Reading Based on the Lectionary. Credit goes to CHResources. See their program here: https://s3.amazonaws.com/chnpublicmedia/bblccc.pdf,,,,
Occasion,1st Reading,Response,2nd Reading,Gospel,Lectionary#,,,1st Reading,Responsorial,2nd Reading,Gospel,Catechism
"Lent, Week 4, Wed",Isa 49:8-15,"Ps 145:8-9, 13cd-14, 17-18",,John 5:17-30,246,,,,,,,
"Lent, Week 4, Thurs",Exod 32:7-14,"Ps 106:19-20, 21-22, 23",,John 5:31-47,247,,,,,,,
"Lent, Week 4, Fri","Wis 2:1a, 12-22","Ps 34:17-18, 19-20, 21+23",,"John 7:1-2, 10, 25-30",248,,,,,,,
"Lent, Week 4, Sat",Jer 11:18-20,"Ps 7:2-3, 9bc-10, 11-12",,John 7:40-53,249,,,,,,,
5th Sunday of Lent,Ezek 37:12-14,"Ps 130:1-2, 3-4, 5-6, 7-8",Rom 8:8-11,"John 11:1-45 or 11:3-7, 17, 20-27, 33b-45",34,,,,,,,
"Lent, Week 5, Mon","Dan 13:1-9, 15-17, 19-30, 33-62 or 13:41c-62","Ps 23:1-3a, 3b-4, 5, 6",,John 8:1-11,251,,,,,,,
"Lent, Week 5, Tues",Num 21:4-9,"Ps 102:2-3, 16-18, 19-21",,John 8:21-30,252,,,,,,,
"Lent, Week 5, Wed","Dan 3:14-20, 91-92, 95","Dan 3:52, 53, 54, 55, 56",,John 8:31-42,253,,,,,,,
"Lent, Week 5, Thurs",Gen 17:3-9,"Ps 105:4-5, 6-7, 8-9",,John 8:51-59,254,,,,,,,
"Lent, Week 5, Fri",Jer 20:10-13,"Ps 18:2-3a, 3bc-4, 5-6, 7",,John 10:31-42,255,,,,,,,
"Lent, Week 5, Sat",Ezek 37:21-28,"Jer 31:10, 11-12ab[cd], 13",,John 11:45-56,256,,,,,,,
Palm Sunday Mass,Isa 50:4-7,"Ps 22:8-9, 17-18, 19-20, 23-24",Phil 2:6-11,Matt 26:14—27:66 or 27:11-54,38,,,,,,,
"Holy Week, Mon",Isa 42:1-7,"Ps 27:1, 2, 3, 13-14",,John 12:1-11,257,,,,,,,
"Holy Week, Tues",Isa 49:1-6,"Ps 71:1-2, 3-4a, 5-6ab, 15+17",,"John 13:21-33, 36-38",258,,,,,,,
"Holy Week, Wed",Isa 50:4-9a,"Ps 69:8-10, 21-22, 31+33-34",,Matt 26:14-25,259,,,,,,,
Chrism Mass,"Isa 61:1-3a, 6a, 8b-9","Ps 89:21-22, 25+27",Rev 1:5-8,Luke 4:16-21,260,,,,,,,
Holy Thursday: Mass of the Lord’s Supper,"Exod 12:1-8, 11-14","Ps 116:12-13, 15-16, 17-18",1 Cor 11:23-26,John 13:1-15,39,,,,,,,
Good Friday of the Lord’s Passion,Isa 52:13—53:12,"Ps 31:2+6, 12-13, 15-16, 17+25",Heb 4:14-16; 5:7-9,John 18:1—19:42,40,,,,,,,
Easter Vigil,"Gen 1:1—2:2 or 1:1, 26-31a
Gen 22:1-18 or 22:1-2, 9a, 10-13, 15-18
Exod 14:15—15:1
Exod 15:1-2, 3-4, 5-6, 17-18
Isa 12:2-3, 4bcd, 5-6
Isa 54:5-14
Isa 55:1-11
Bar 3:9-15, 32—4:4
Ezek 36:16-17a, 18-28","Ps 30:2+4, 5-6, 11-12a+13b",Rom 6:3-11,Matt 28:1-10,41,,,,,,,
Easter Sunday: Resurrection of the Lord; Mass of Easter Day,"Acts 10:34a, 37-43","Ps 118:1-2, 16-17, 22-23",Col 3:1-4 or 1 Cor 5:6b-8,John 20:1-9 or Luke 24:13-35,42,,,,,,,
"Easter Octave, Mon","Acts 2:14, 22-33","Ps 16:1-2a+5, 7-8, 9-10, 11",,Matt 28:8-15,261,,,,,,,
"Easter Octave, Tues",Acts 2:36-41,"Ps 33:4-5, 18-19, 20+22",,John 20:11-18,262,,,,,,,
"Easter Octave, Wed",Acts 3:1-10,"Ps 105:1-2, 3-4, 6-7, 8-9",,Luke 24:13-35,263,,,,,,,
"Easter Octave, Thurs",Acts 3:11-26,"Ps 8:2ab+5, 6-7, 8-9",,Luke 24:35-48,264,,,,,,,
"Easter Octave, Fri",Acts 4:1-12,"Ps 118:1-2+4, 22-24, 25-27a",,John 21:1-14,265,,,,,,,
"Easter Octave, Sat",Acts 4:13-21,"Ps 118:1+14-15ab, 16-18, 19-21",,Mark 16:9-15,266,,,,,,,
2nd Sunday of Easter – A,Acts 2:42-47,"Ps 118:2-4, 13-15, 22-24",1 Pet 1:3-9,John 20:29,43,,,,,,,
"Easter, Week 2, Mon",Acts 4:23-31,"Ps 2:1-3, 4-7a, 7b-9",,John 3:1-8,267,,,,,,,
"Easter, Week 2, Tues",Acts 4:32-37,"Ps 93:1ab, 1cd-2, 5",,John 3:7b-15,268,,,,,,,
